A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
128	Xe     	54 	74 	0.0000  	0+            	-89.8602  	11   	STABLE                   	infinity                 	1.9102%   	8       	        	            
129	Xe     	54 	75 	0.0000  	1/2+          	-88.696000	6    	STABLE                   	infinity                 	26.4006%  	82      	        	            
130	Xe     	54 	76 	0.0000  	0+            	-89.880400	9    	STABLE                   	infinity                 	4.0710%   	13      	        	            
131	Xe     	54 	77 	0.0000  	3/2+          	-88.41360 	22   	STABLE                   	infinity                 	21.232%   	30      	        	            
132	Xe     	54 	78 	0.0000  	0+            	-89.278900	5    	STABLE                   	infinity                 	26.9086%  	33      	        	            
134	Xe     	54 	80 	0.0000  	0+            	-88.1245  	8    	5.8E+22 Y GT             	1.83E30                  	10.4357%  	21      	2B-     	            
136	Xe     	54 	82 	0.0000  	0+            	-86.429100	10   	2.4E+21 Y GT             	7.574E28                 	8.8573%   	44      	2B-     	            
133	Cs     	55 	78 	0.0000  	7/2+          	-88.070900	8    	STABLE                   	infinity                 	100%      	        	        	            
130	Ba     	56 	74 	0.0000  	0+            	-87.262   	3    	STABLE                   	infinity                 	0.106%    	1       	2EC     	            
132	Ba     	56 	76 	0.0000  	0+            	-88.4349  	11   	3.0E+21 Y GT             	9.467E28                 	0.101%    	1       	2EC     	            
134	Ba     	56 	78 	0.0000  	0+            	-88.9501  	3    	STABLE                   	infinity                 	2.417%    	18      	        	            
135	Ba     	56 	79 	0.0000  	3/2+          	-87.8508  	3    	STABLE                   	infinity                 	6.592%    	12      	        	            
136	Ba     	56 	80 	0.0000  	0+            	-88.8872  	3    	STABLE                   	infinity                 	7.854%    	24      	        	            
137	Ba     	56 	81 	0.0000  	3/2+          	-87.7215  	3    	STABLE                   	infinity                 	11.232%   	24      	        	            
138	Ba     	56 	82 	0.0000  	0+            	-88.2619  	3    	STABLE                   	infinity                 	71.698%   	42      	        	            
138	La     	57 	81 	0.0000  	5+            	-86.521   	3    	1.02E+11 Y 1             	3.219E18                 	0.08881%  	71      	EC      	65.60       
138	La     	57 	81 	0.0000  	5+            	-86.521   	3    	1.02E+11 Y 1             	3.219E18                 	0.08881%  	71      	B-      	34.40       
139	La     	57 	82 	0.0000  	7/2+          	-87.2282  	23   	STABLE                   	infinity                 	99.9119%  	71      	        	            
136	Ce     	58 	78 	0.0000  	0+            	-86.474   	12   	0.7E+14 Y GT             	2.209E21                 	0.185%    	2       	2EC     	            
138	Ce     	58 	80 	0.0000  	0+            	-87.564   	10   	0.9E+14 Y GE             	2.84E21                  	0.251%    	2       	2EC     	100.00      
140	Ce     	58 	82 	0.0000  	0+            	-88.0786  	22   	STABLE                   	infinity                 	88.450%   	51      	        	            
142	Ce     	58 	84 	0.0000  	0+            	-84.532   	3    	5E+16 Y GT               	1.578E24                 	11.114%   	51      	2B-     	            
141	Pr     	59 	82 	0.0000  	5/2+          	-86.0158  	22   	STABLE                   	infinity                 	100%      	        	        	            
142	Nd     	60 	82 	0.0000  	0+            	-85.9493  	18   	STABLE                   	infinity                 	27.152%   	40      	        	            
143	Nd     	60 	83 	0.0000  	7/2-          	-84.0015  	18   	STABLE                   	infinity                 	12.174%   	26      	        	            
144	Nd     	60 	84 	0.0000  	0+            	-83.7473  	18   	2.29E+15 Y 16            	7.227E22                 	23.798%   	19      	A       	100.00      
145	Nd     	60 	85 	0.0000  	7/2-          	-81.4312  	18   	STABLE                   	infinity                 	8.293%    	12      	        	            
146	Nd     	60 	86 	0.0000  	0+            	-80.9252  	18   	STABLE                   	infinity                 	17.189%   	32      	        	            
148	Nd     	60 	88 	0.0000  	0+            	-77.4068  	24   	STABLE                   	infinity                 	5.756%    	21      	        	            
150	Nd     	60 	90 	0.0000  	0+            	-73.683   	3    	0.79E19 Y 7              	2.493E26                 	5.638%    	28      	        	            
144	Sm     	62 	82 	0.0000  	0+            	-81.9657  	25   	STABLE                   	infinity                 	3.07%     	7       	        	            
147	Sm     	62 	85 	0.0000  	7/2-          	-79.2657  	18   	1.060E11 Y 11            	3.345E18                 	14.99%    	18      	A       	100.00      
148	Sm     	62 	86 	0.0000  	0+            	-79.3358  	18   	7E+15 Y 3                	2.209E23                 	11.24%    	10      	A       	100.00      
149	Sm     	62 	87 	0.0000  	7/2-          	-77.1350  	18   	STABLE                   	infinity                 	13.82%    	7       	        	            
150	Sm     	62 	88 	0.0000  	0+            	-77.0504  	17   	STABLE                   	infinity                 	7.38%     	1       	        	            
152	Sm     	62 	90 	0.0000  	0+            	-74.7622  	17   	STABLE                   	infinity                 	26.75%    	16      	        	            
154	Sm     	62 	92 	0.0000  	0+            	-72.4549  	19   	STABLE                   	infinity                 	22.75%    	29      	        	            
151	Eu     	63 	88 	0.0000  	5/2+          	-74.6517  	18   	1.7E+18 Y GE             	5.365E25                 	47.81%    	3       	A       	            
153	Eu     	63 	90 	0.0000  	5/2+          	-73.3661  	18   	STABLE                   	infinity                 	52.19%    	6       	        	            
152	Gd     	64 	88 	0.0000  	0+            	-74.7065  	17   	1.08E14 Y 8              	3.408E21                 	0.20%     	1       	A       	100.00      
154	Gd     	64 	90 	0.0000  	0+            	-73.7055  	17   	STABLE                   	infinity                 	2.18%     	3       	        	            
155	Gd     	64 	91 	0.0000  	3/2-          	-72.0694  	17   	STABLE                   	infinity                 	14.80%    	12      	        	            
156	Gd     	64 	92 	0.0000  	0+            	-72.5345  	17   	STABLE                   	infinity                 	20.47%    	9       	        	            
157	Gd     	64 	93 	0.0000  	3/2-          	-70.8230  	17   	STABLE                   	infinity                 	15.65%    	2       	        	            
158	Gd     	64 	94 	0.0000  	0+            	-70.6891  	17   	STABLE                   	infinity                 	24.84%    	7       	        	            
160	Gd     	64 	96 	0.0000  	0+            	-67.9409  	18   	3.1E+19 Y GT             	9.783E26                 	21.86%    	19      	2B-     	            
159	Tb     	65 	94 	0.0000  	3/2+          	-69.5315  	18   	STABLE                   	infinity                 	100%      	        	        	            
156	Dy     	66 	90 	0.0000  	0+            	-70.522   	6    	STABLE                   	infinity                 	0.056%    	3       	        	            
158	Dy     	66 	92 	0.0000  	0+            	-70.405   	3    	STABLE                   	infinity                 	0.095%    	3       	        	            
160	Dy     	66 	94 	0.0000  	0+            	-69.6711  	19   	STABLE                   	infinity                 	2.329%    	18      	        	            
